Brand,Processor,RAM (GB),Storage,GPU,Screen Size (inch),Resolution,Battery Life (hours),Weight (kg),Operating System,Price ($)
Lenovo,Intel i5,4.0,256GB SSD,Nvidia RTX 3080,13.3,1366x768,10.5,3.1,Windows,751.17
HP,AMD Ryzen 5,4.0,1TB SSD,AMD Radeon RX 6800,14.0,3840x2160,7.5,2.19,FreeDOS,1556.72
Razer,Intel i9,8.0,256GB SSD,Nvidia GTX 1650,16.0,1366x768,6.4,2.53,Windows,2044.38
Razer,Intel i5,32.0,1TB HDD,AMD Radeon RX 6800,16.0,1920x1080,8.3,1.21,Windows,2032.69
Razer,AMD Ryzen 3,16.0,1TB SSD,Nvidia RTX 3080,17.3,3840x2160,11.6,3.11,macOS,2413.0
Microsoft,AMD Ryzen 9,4.0,2TB SSD,AMD Radeon RX 6800,17.3,1920x1080,8.3,1.48,Linux,1585.6
Razer,Intel i5,32.0,512GB SSD,Nvidia GTX 1650,14.0,1920x1080,10.0,3.4,FreeDOS,2191.16
Apple,Intel i9,64.0,256GB SSD,Integrated,17.3,1920x1080,6.9,2.55,Windows,4428.68
HP,Intel i3,64.0,512GB SSD,AMD Radeon RX 6600,16.0,1366x768,4.9,1.99,Linux,1878.4
Dell,AMD Ryzen 9,32.0,2TB SSD,AMD Radeon RX 6800,13.3,1920x1080,7.2,3.32,FreeDOS,2770.48
Lenovo,Intel i5,16.0,1TB SSD,Nvidia GTX 1650,16.0,3840x2160,10.0,2.07,macOS,2256.02
HP,AMD Ryzen 9,32.0,1TB SSD,Nvidia RTX 2060,16.0,2560x1440,9.6,3.2,FreeDOS,3493.59
HP,AMD Ryzen 7,16.0,512GB SSD,Nvidia RTX 3060,17.3,1366x768,11.1,2.2,macOS,1298.68
HP,AMD Ryzen 5,64.0,512GB SSD,Integrated,16.0,2560x1440,5.9,3.24,FreeDOS,2280.87
Lenovo,Intel i3,16.0,512GB SSD,AMD Radeon RX 6800,16.0,1920x1080,4.6,2.32,Windows,1261.48
Lenovo,Intel i3,64.0,256GB SSD,Nvidia RTX 3080,17.3,2560x1440,5.3,3.22,Linux,2751.07
Samsung,AMD Ryzen 5,8.0,1TB HDD,AMD Radeon RX 6800,14.0,1366x768,9.4,2.01,Linux,625.2
Microsoft,AMD Ryzen 7,32.0,2TB SSD,Nvidia RTX 3060,14.0,3840x2160,7.0,1.44,macOS,3286.45
HP,AMD Ryzen 9,8.0,256GB SSD,Nvidia GTX 1650,14.0,2560x1440,5.1,1.76,Windows,2080.79
Samsung,Intel i3,8.0,512GB SSD,AMD Radeon RX 6600,14.0,1366x768,7.2,2.54,FreeDOS,863.34
Microsoft,Intel i7,32.0,2TB SSD,AMD Radeon RX 6600,16.0,1920x1080,11.8,1.48,FreeDOS,2113.62
Lenovo,AMD Ryzen 5,4.0,512GB SSD,AMD Radeon RX 6600,14.0,1366x768,11.2,3.02,FreeDOS,691.35
Asus,AMD Ryzen 5,8.0,1TB SSD,Nvidia RTX 3080,13.3,1366x768,8.5,1.42,FreeDOS,789.61
Razer,AMD Ryzen 7,8.0,2TB SSD,AMD Radeon RX 6600,13.3,2560x1440,4.1,1.44,Linux,2312.14
Dell,AMD Ryzen 5,32.0,2TB SSD,Nvidia RTX 3060,16.0,1920x1080,4.2,1.52,macOS,1748.97
Apple,Intel i9,16.0,1TB HDD,AMD Radeon RX 6800,16.0,2560x1440,9.4,2.65,FreeDOS,3428.94
Dell,AMD Ryzen 3,8.0,1TB SSD,Nvidia RTX 3060,14.0,3840x2160,9.4,1.69,macOS,1340.49
Asus,Intel i5,16.0,1TB SSD,Nvidia RTX 3060,15.6,3840x2160,6.4,3.31,macOS,2120.59
Dell,AMD Ryzen 5,4.0,1TB SSD,Integrated,15.6,2560x1440,11.8,3.45,FreeDOS,962.25
Dell,Intel i5,64.0,256GB SSD,AMD Radeon RX 6600,14.0,1920x1080,10.1,1.78,FreeDOS,2240.32
Microsoft,AMD Ryzen 9,64.0,256GB SSD,Integrated,17.3,1920x1080,9.5,2.99,Linux,2922.91
Lenovo,Intel i7,4.0,2TB SSD,AMD Radeon RX 6800,16.0,1366x768,5.4,1.75,Windows,938.96
Samsung,AMD Ryzen 3,64.0,512GB SSD,Nvidia GTX 1650,14.0,2560x1440,7.5,1.91,Linux,2478.83
Razer,Intel i3,32.0,1TB HDD,AMD Radeon RX 6600,14.0,1920x1080,4.9,3.2,FreeDOS,1489.43
Razer,AMD Ryzen 7,64.0,1TB HDD,AMD Radeon RX 6800,14.0,3840x2160,10.1,2.8,Linux,5766.77
MSI,AMD Ryzen 3,4.0,1TB HDD,Nvidia GTX 1650,16.0,2560x1440,6.5,1.89,Windows,1261.77
Samsung,AMD Ryzen 5,8.0,1TB HDD,Integrated,17.3,1366x768,11.0,2.66,Linux,620.44
HP,Intel i5,32.0,2TB SSD,Nvidia GTX 1650,13.3,3840x2160,7.4,2.7,Linux,2500.94
HP,AMD Ryzen 7,64.0,1TB SSD,Integrated,13.3,1920x1080,4.3,1.31,FreeDOS,2041.37
HP,AMD Ryzen 7,4.0,1TB HDD,Nvidia GTX 1650,15.6,1366x768,7.1,2.63,macOS,777.38
Acer,Intel i5,8.0,2TB SSD,AMD Radeon RX 6800,16.0,3840x2160,11.7,3.27,Windows,1969.19
Asus,AMD Ryzen 3,32.0,512GB SSD,Nvidia RTX 2060,17.3,1920x1080,11.9,1.63,FreeDOS,1609.14
Dell,AMD Ryzen 3,8.0,1TB SSD,Nvidia RTX 3060,15.6,1366x768,5.5,1.28,Linux,728.2
Acer,Intel i3,4.0,1TB SSD,Nvidia GTX 1650,13.3,1366x768,8.9,3.45,Windows,545.58
Razer,Intel i3,8.0,1TB SSD,AMD Radeon RX 6600,17.3,2560x1440,11.7,1.76,FreeDOS,1641.64
Dell,AMD Ryzen 7,16.0,2TB SSD,Nvidia GTX 1650,14.0,1366x768,4.6,3.22,FreeDOS,1178.4
Acer,Intel i9,32.0,512GB SSD,Integrated,15.6,1366x768,11.6,2.55,Windows,1633.4
Microsoft,AMD Ryzen 5,64.0,512GB SSD,Nvidia RTX 3080,13.3,3840x2160,7.9,1.85,Windows,3845.91
Apple,AMD Ryzen 5,16.0,256GB SSD,Nvidia RTX 3080,15.6,1920x1080,9.8,1.45,macOS,1864.34
Razer,AMD Ryzen 3,32.0,512GB SSD,Nvidia RTX 3060,16.0,2560x1440,5.8,1.86,FreeDOS,2475.0
Dell,AMD Ryzen 7,16.0,2TB SSD,AMD Radeon RX 6600,13.3,1366x768,9.4,2.42,FreeDOS,1381.3
Razer,AMD Ryzen 9,4.0,512GB SSD,AMD Radeon RX 6600,16.0,1920x1080,6.5,2.32,macOS,2225.01
Samsung,AMD Ryzen 5,64.0,2TB SSD,Nvidia GTX 1650,13.3,1366x768,10.9,2.33,Windows,2105.65
MSI,AMD Ryzen 7,4.0,1TB SSD,Nvidia GTX 1650,17.3,3840x2160,10.5,1.33,FreeDOS,2551.92
Dell,AMD Ryzen 9,4.0,1TB HDD,Nvidia GTX 1650,14.0,2560x1440,6.0,2.56,Linux,1443.2
Samsung,AMD Ryzen 3,16.0,256GB SSD,AMD Radeon RX 6600,15.6,2560x1440,4.9,2.5,Linux,1314.19
Asus,AMD Ryzen 9,32.0,1TB SSD,AMD Radeon RX 6600,13.3,1366x768,9.6,3.17,FreeDOS,2194.29
Razer,AMD Ryzen 5,4.0,1TB SSD,Nvidia RTX 3080,13.3,3840x2160,11.6,1.82,macOS,2088.13
Razer,Intel i7,64.0,256GB SSD,Nvidia RTX 2060,15.6,2560x1440,6.2,2.21,FreeDOS,5519.35
Dell,AMD Ryzen 7,4.0,1TB SSD,Nvidia RTX 3080,15.6,2560x1440,7.8,2.22,Linux,1683.6
MSI,Intel i7,4.0,256GB SSD,Integrated,14.0,1920x1080,7.2,2.87,Windows,908.17
HP,AMD Ryzen 9,64.0,2TB SSD,AMD Radeon RX 6600,14.0,2560x1440,6.0,2.68,FreeDOS,4841.47
MSI,AMD Ryzen 3,64.0,256GB SSD,Nvidia RTX 3080,15.6,3840x2160,4.2,3.49,FreeDOS,4651.94
